삼성전자,SK하이닉스,NAVER,씨젠,우리들휴브레인,현대차,DGB금융지주,미스터블루,셀트리온,데일리블록체인,소리바다,한화솔루션,아모레퍼시픽,CJ대한통운,GS건설
44492.07317073171,71851.21951219512,124158.53658536586,24896.951219512197,2246.951219512195,133378.0487804878,7789.2682926829275,5371.036585365854,184121.95121951218,1021.439024390244,1058.1585365853662,20303.048780487807,161164.63414634147,143896.34146341466,36849.39024390244
44487.70820939917,71753.06365258775,124160.46995835812,24904.231112433077,2242.5237953599053,133346.0737656157,7778.283759666865,5401.537031528852,183861.24330755504,1015.0541344437836,1056.9775431290898,20303.695716835216,160544.69066032124,143681.66270077336,36809.748661511
44490.6070900016,71648.83272152174,124168.52447004539,24917.087589413968,2238.408231888684,133319.80637251347,7767.165268931095,5432.409434352375,183597.3560308179,1009.0791848638296,1055.843122923347,20297.64322557711,159947.67469276418,143482.65858736815,36767.18462079772
44515.492542318694,71595.76970593055,124231.55525626546,24944.125242943403,2235.218088375132,133348.09669412946,7755.911186844888,5464.999793307891,183275.3725677791,1004.6777115085105,1055.1216975931438,20289.68765515732,159434.84145731007,143336.10564331163,36747.272238124526
44535.193670883564,71561.57177551508,124252.67178378091,24971.492623954906,2231.6841626236087,133388.92714161886,7746.471079367388,5498.353449323841,183053.12101372762,1000.4054884781264,1054.5134256125723,20279.805797293382,158897.46147508215,143181.66790725448,36731.385314199215
44558.18383760165,71537.93240692378,124274.04582992457,25010.779119368995,2228.838847533653,133442.45064334592,7739.5987754572325,5531.260198705839,182913.52492852922,995.4714090693229,1053.71480885175,20278.949770431107,158438.89393209538,143098.51751587953,36722.01196437237
44581.454372206535,71500.59011920332,124301.7780961432,25027.373986678373,2225.836882259673,133508.82199265502,7733.618272718907,5564.324347470544,182760.0313300966,990.4771579604125,1053.4552333499423,20277.47354811929,157962.53898004774,142996.06041241463,36700.329183450085
44606.22820601393,71464.01194992532,124354.23880463274,25037.463913345186,2222.432453994547,133576.002748663,7725.369715069138,5596.938059025064,182598.5682975368,985.2390745209053,1052.7656630249414,20262.564688950017,157449.88701638975,142861.86602720025,36666.186856418986
44643.49928169703,71458.6950224854,124419.53439981118,25044.018351312807,2219.9011424578957,133650.1003431589,7717.874223789493,5629.949498769272,182429.0386426287,980.4858925028676,1052.4335369642704,20250.52279491282,156930.98319951652,142744.3278080197,36638.94523271679
44685.49317537627,71456.97179105229,124461.23603883325,25046.9941848654,2216.4853027317718,133749.4918107584,7711.019031396682,5662.5098585103615,182269.6366748559,976.7723058260733,1052.1583361955418,20238.943804606883,156436.23909219351,142655.84400080045,36604.05432092065
44718.24309214915,71463.76412996756,124533.93403930686,25036.591674924737,2211.808294228501,133807.4124425969,7703.348531779569,5696.077051906827,182199.75419528093,973.62318760444,1051.8188037101215,20232.711411980134,155965.94932502517,142547.98843983462,36574.83547117578
44737.36800790706,71477.95637545497,124656.29908856668,25013.257427057964,2208.9035173288485,133890.42966750663,7695.4625382646855,5729.321894003253,182214.3853440039,970.3746898922988,1051.2312281456109,20223.35423407745,155544.80236557426,142420.52488422286,36550.13834277549
44752.457861662035,71509.39486783858,124798.44907745165,24987.80934690013,2206.3291699792003,133974.4592975982,7688.699886292304,5761.75264880817,182186.51199454052,967.0256007446441,1050.6364870254354,20203.51709059059,155118.51946759346,142346.3849437865,36522.091249394696
44763.46344534084,71552.19236622685,124942.33260278641,24960.831412106232,2205.3087940033365,134053.41611830058,7682.098665393429,5795.615485988757,182207.07921398614,963.8185958756762,1050.5832734525748,20190.14534779292,154735.81848549092,142301.82866261314,36485.1655329239
44788.627633698656,71600.38983410767,125081.87324428381,24931.69520981485,2205.678413442401,134096.7504612067,7675.538893020178,5830.01323581789,182221.7996922055,961.060286069282,1050.4684353239477,20177.22029105868,154439.91383287494,142226.2412072792,36453.88706381322
44814.70845849985,71657.71166135288,125259.70096677508,24904.032956276005,2205.3208331185288,134085.73522292872,7669.386928300912,5865.9890069864,182322.06554211047,958.2683383384198,1049.3765869742397,20169.015660461842,154097.71766010512,142137.53683175822,36419.78812556704
44842.32685433522,71727.92765722303,125464.08756393088,24874.204089889125,2204.2881603516817,134056.2929695498,7663.7696957192165,5901.488872925258,182277.2126828679,955.3203912449858,1048.6982526690476,20158.271949004054,153763.54348522838,142017.26289068212,36371.24895636664
44879.4284013393,71796.56092133552,125658.77155861295,24823.88950561948,2203.9746013315803,134056.97946917848,7659.059570057255,5938.092395765811,182237.9103985126,952.7633228455344,1048.4994508723282,20155.324045943133,153443.58669846287,141895.522194227,36330.654431444265
44907.83606477027,71868.470200864,125825.34194347408,24777.229621541668,2204.2669745185503,134039.38165782698,7653.072491643318,5975.203278641004,182192.03125703105,950.784826782675,1048.1762734439424,20149.291412357066,153168.5084874685,141790.58953805905,36281.028265974084
44937.19991921869,71948.57349599648,126000.04123546768,24722.683641316566,2204.562913232191,134033.76436097122,7647.866058614579,6012.949660087846,182096.81212601927,948.5992758897808,1047.8491548274048,20143.185210068747,152853.49029829132,141574.62111779145,36233.84568385181
44951.068210916485,72013.80000204523,126134.18807980265,24671.131002796035,2204.862460954535,133979.29807269038,7642.4741812806105,6049.814899845013,181963.846420239,946.5090231567294,1046.9692664716417,20130.90698092324,152522.43530192898,141362.1164972767,36181.81941170367
44969.373920805716,72098.11463621649,126318.75134906855,24618.339917464284,2205.165661697883,133918.07000040612,7635.553134710862,6086.763862038246,181798.77137658335,944.759133195226,1045.9566965505642,20111.771700202797,152217.83085439153,141140.922796024,36123.67086794395
