삼성전자,SK하이닉스,NAVER,씨젠,우리들휴브레인,현대차,DGB금융지주,미스터블루,셀트리온,데일리블록체인,소리바다,한화솔루션,아모레퍼시픽,CJ대한통운,GS건설
201077.60236343442,72618.59169561412,53810.004245110555,24650.22982484793,2061.7594863445293,136785.8115664383,7662.7881616401455,4758.267552633021,147532.63248941654,761.365586642291,943.6414010182582,20849.43461741264,192108.89459068165,142649.0807772012,33326.625482939664
205143.9679862312,72643.98322436839,53549.66199560604,24687.208710774248,2056.6932311665178,136922.20694673675,7661.371242858343,4774.568178483603,147116.13873219266,757.4795256815588,944.6867313604961,20860.96380940248,191808.16115561977,142495.54886495648,33250.488175851184
209235.39558876678,72669.62026754994,53297.228683622205,24724.409117452866,2051.6083601194023,137059.15703403938,7659.983035695697,4790.9047251564425,146700.41470055748,753.600119071885,945.7622176490373,20872.61345490185,191506.71300427147,142341.40388209812,33174.1678699178
213351.77400662468,72695.50212614115,53052.70816822001,24761.830519245283,2046.504944335964,137196.65925386114,7658.6235006255465,4807.276691392486,146285.46910417333,749.7274379434919,946.8678672815204,20884.383156903332,191204.56181929426,142186.64805249104,33097.666008577886
217492.99152162415,72721.62809277022,52816.10410990205,24799.472384995766,2041.3830558958625,137334.7110171241,7657.292597600017,4823.683573717924,145871.31061175838,745.8615533029313,948.0036866305453,20896.272515044,190901.7193659807,142031.28362037442,33020.98404004685
230064.5532551561,72801.46344260803,52153.82430277566,24913.715372033486,2025.9072895468933,137752.13745983294,7653.471272558389,4873.1086498783725,144633.64382678954,734.3053864748063,951.5922113351584,20932.65447274833,189989.16327652312,141561.56145516972,32789.872044167816
234303.99905647035,72828.55860183791,51948.91870451858,24952.233672318587,2020.7122500658795,137892.36121749136,7652.25448691475,4889.65011854242,144222.7196109321,730.4673953042387,952.8487527931607,20945.018385375457,189683.67503525398,141403.7854599219,32712.484222971885
238567.7172111769,72855.89420818303,51751.94488552201,24990.969698645244,2015.4991123802677,138033.12135760163,7651.0661253640665,4906.223953722203,143812.62522085287,726.6365537257112,954.1354804767267,20957.499902653988,189377.55557111718,141245.41238603232,32634.923605711592
260246.3518468322,72996.15217777122,50886.13190511359,25187.895797058813,1989.1647013457432,138744.87369720655,7645.549152643344,4989.560492397639,141774.89381395144,707.592042543686,961.0218849508867,21021.656742652467,187837.9213404368,140444.6742930102,32244.58039002296
264653.2720312418,73024.91429290116,50736.79363363213,25227.92615036668,1983.8446374393595,138888.79548067925,7644.530412898986,5006.3176182351035,141369.95367367475,703.8055682329923,962.4896993492849,21034.834953402282,187528.27448263575,140282.76909597346,32166.014144588033
269083.6490909414,73053.91138909923,50595.400243153446,25268.170170152294,1978.507038112229,139033.23463517425,7643.539785066117,5023.103456388155,140965.90138985866,700.0267320805642,963.9876802751677,21048.12776099156,187218.08376701688,140120.2837858411,32087.285526271167
273537.3645065103,73083.14265369605,50461.95281020481,25308.62725525311,1973.1519873554496,139178.1883906615,7642.57722259511,5039.917477271952,140562.74507952778,696.2556032954657,965.5158208566522,21061.53472313293,186907.36197789048,139957.22086400716,32008.396041146305
278014.2992662345,73112.60726618291,50336.45221260376,25349.296799261523,1967.779570044024,139323.65396387994,7641.642678457405,5056.759149503607,140160.4928158333,692.4922509340129,967.074113211076,21075.05539444639,186596.12197355126,139793.58285103695,31929.347199407202
291583.22220035724,73202.39286915964,50007.637230247616,25472.574042417127,1951.5589807027677,139763.09356102525,7639.006678639109,5107.444734133723,138959.24037404705,681.2495406238078,971.9298069531993,21116.29516364407,185659.42234834933,139299.24375657525,31691.25969722996
296151.83452785714,73232.78251273715,49913.92877955584,25514.087253812406,1946.1179634487728,139910.57831153402,7638.183728077611,5124.391663046175,138560.6841443733,677.5179813976451,973.6086074064847,21130.266156681137,185346.23952313047,139133.33096489118,31611.588611682437
300743.0639116856,73263.40128546444,49828.16857436078,25555.80981413873,1940.6600171167493,140058.56076857654,7637.38855362984,5141.363560500877,138163.07166240778,673.7945415170211,975.317505107213,21144.348586287684,185032.6038612684,138966.85596922846,31531.76578060029
305356.7884799961,73294.24832062762,49750.35630137462,25597.741085963633,1935.1852317880173,140207.03807164796,7636.621105457956,5158.359884975342,137766.410734117,670.0792890803431,977.0564861381433,21158.54198893964,184718.52865131796,138799.82140323464,31451.792737884214
309992.8859000227,73325.32274395117,49680.49144901184,25639.880426760137,1929.693698394898,140356.00734772152,7635.881333266705,5175.380093365912,137370.70912029865,666.3722920192843,978.8255355817456,21172.845898158896,184404.0272512516,138632.22991908208,31371.67102121648
324034.18512275955,73419.90148753737,49518.57332829922,25767.540361732466,1913.1195318078878,140805.83809810886,7633.827562826686,5226.578567941769,136189.43709217114,655.3015098669471,984.312930238698,21216.415956539317,183458.10051718832,138126.14075515256,31130.42926004292
328758.5415609777,73451.87657090904,49480.48908112035,25810.50545200644,1907.5619323198016,140956.74628920795,7633.197982564284,5243.6888504391945,135797.64943440765,651.6282102248098,986.2020842044093,21231.157168854108,183142.0293011885,137956.3484871115,31049.728298336566
333504.65243130026,73484.074559041,49450.34672639624,25853.67532296255,1901.988052014818,141108.13190404154,7632.595820052593,5260.8202787196005,135406.85921124354,647.9635030490524,988.1212170458114,21246.0065117284,182825.5997026806,137786.01283620606,30968.88640612147
343061.63702673983,73549.13556711098,49413.880701162736,25940.626711466688,1890.7918334962546,141412.32360933055,7631.473535945661,5295.1443635562655,134628.30096658366,640.6601334804375,992.0493348277516,21276.02765121174,182191.72046423843,137443.72244872438,30806.78607101408
