삼성,SK하이닉스,NAVER,씨젠,우리들휴브레인,현대차,DGB금융지주,미스터블루,셀트리온,데일리블록체인,소리바다,한화솔루션,아모레퍼시픽,CJ대한통운,GS건설
45704.10156,82810.77344,161087,22657.55273,2765.094727,123788.9766,7246.98584,8139.424805,188511.6094,627.6478271,1005.391602,17023.73047,197482.3438,158078.5938,31874.79688
45221.69141,81862.55469,160666.1406,22737.06445,2663.713623,123467.9219,7272.041992,8187.379883,186338.3125,635.7613525,997.0442505,16643.24805,192715.6406,157134.6719,31518.06445
45941.76172,82423.80469,159886.0469,23327.78516,2583.117188,125043.8984,7304.693848,8238.707031,185716.7031,753.0751343,988.8034058,16985.18359,189719.4531,158917.2188,31752.88867
45922.73438,82901.95313,157204.5,23370.41992,2589.940186,124513.1484,7265.297852,8247.972656,182183.625,876.5933228,986.3490601,18254.94141,185237.9688,158269.3281,31499.65234
46184.4375,83173.00781,169008.0625,23659.30078,2599.166504,124411.1563,7224.135254,7921.459961,185749.2031,1096.835571,984.7044678,18386.00195,183606.4844,158849.4375,30871.44727
46954.99219,84251.9375,170234.25,26341.77344,2643.997559,125200.2656,7262.538574,8009.221191,186626.5313,1003.134583,986.430481,18438.69531,184154.6875,158186.6406,31843.98047
46906.14453,84951.78906,173686.2656,27271.51758,2534.034424,125750.0078,7239.915527,7766.432129,187067.4844,973.550354,977.3169556,18453.44531,182733.9688,158789.9375,31862.36133
46937.77344,85147.33594,170260.5938,27658.52734,2498.841553,125032.6016,7253.906738,7657.794434,184638.3281,921.5549927,965.1383667,18558.88867,181172.7188,159744.3906,31675.13281
45738.59766,83801.80469,168137.9219,27604.91016,2395.028809,124496.1016,7279.608398,7430.580566,184667.7188,828.7144775,926.7810059,18109.72461,179757.75,159101.0469,31479.21289
44779.57031,82100.32813,167504.875,27362.89844,2348.239746,124407.8516,7215.332031,7332.357422,178789.5469,951.3101196,906.9561768,18136.25,180000.5625,158069.2344,30631.17383
45090.35156,81674.98438,165785.0313,27365.52148,2275.909912,123593.3906,7203.871582,7301.238281,175555.5781,932.2286377,887.369873,18096.73828,180524.0313,157860.7031,31017.91797
45231.54688,81558.80469,168969.6719,28060.22461,2289.911865,124678.1484,7215.612305,8815.508789,179842.9063,963.067749,885.7400513,18463.44727,181708.8594,159090.5781,31290.32617
45242.40234,81898.47656,169741.2813,28455.41016,2359.255127,122844.4922,7236.507324,8751.926758,180595.2969,983.5174561,877.241394,18480.90039,180302.3125,157376.1094,30697.04883
45572.85547,82337.36719,169773.6719,28279.3418,2378.678467,123328.7578,7229.332031,8183.611816,183783.5469,969.875061,876.1997681,18012.0918,181081.6563,157719.6719,30449.10742
44890.00391,82627.73438,170053.3906,28077.24609,2359.512939,123819.2891,7193.191895,7808.459473,180170.625,929.0309448,868.8435669,17847.48828,183993.9531,159497.0469,30084.46484
44008.125,81752.20313,169549.25,28560.98438,2363.044678,121472.5938,7161.347656,7644.312012,175267.1875,887.954834,883.8413086,17423.71484,185171.8438,157870.75,29580.91797
43950.32813,81050.07813,169029.4688,28420.30664,2284.57373,121454.3516,7154.049316,7683.822754,175222.7031,990.3206177,878.600647,18044.36914,187150.5781,154568.75,29235.94531
43489.9375,79748.10938,169108.6875,28158.49414,2390.003418,121453.3438,7101.057129,7887.628418,174788.2188,1079.515259,886.2509766,17937.58984,189012.9219,153511.8594,29457.38672
43046.53516,78577.125,170642.75,28443.47461,2383.274902,121864.5938,7065.284668,8017.041504,171985.2813,1080.636841,881.6763916,17597.41016,188861.1094,151494.1719,29501.60156
43003.62891,78621.375,168895.7031,28243.51367,2424.361572,118698.4453,7113.512695,7867.21582,169258,1041.97168,869.269104,17346.10938,186839.0625,149538.4531,29508.00781
43697.94922,79691.05469,170257.6094,28255.03711,2465.601807,118524.9688,7112.995117,8099.688477,169854.0938,999.2655029,872.00177,17424.7207,186225.625,150442.375,29735.12891
44423.29688,80358.35938,171415.8438,28260.60938,2358.320557,119299.0313,7125.395508,7937.169922,168691.3438,1003.230408,862.8642578,17381.05273,184944.9688,151572.7656,29785.81445
44786.13281,80682.29688,171602.0938,28010.45313,2306.290283,119851.8125,7122.207031,7778.119629,167186.75,979.31604,810.8259277,17373.71875,186548.7188,156171.1563,30141.80859
45197.91406,80743.35938,171365.0156,28009.08203,2369.008301,119135.2891,7155.06543,8049.453125,165250.0469,934.4068604,804.2831421,17463.36133,188031.4844,155452.6094,30415.27148
46413.84766,82202.77344,172147.1406,27868.01953,2458.936279,119788.9453,7239.199707,8042.40918,169885.0156,964.4741821,823.9408569,17882.96094,189617.9531,154513.5469,30786.38477
47730.94141,85317.14844,172463.5781,28152.16016,2580.936768,120699.375,7369.875977,8055.629395,172210.4063,963.7825928,823.7226563,18462.64063,191025.4063,154655,31257.24805
47961.93359,87242.32813,174991.3438,28382.49219,2864.650879,119243.3281,7399.410645,8208.073242,171036.9063,978.9831543,824.1448975,18541.63672,190753.3281,154340.4531,30604.99414
49691.23047,90274.49219,176630.6563,28844.18359,3103.114746,121391.9375,7466.328613,8159.878418,177531.0938,992.8237915,820.0018921,18641.25391,190955.2031,152680.7656,30428.89844
49626.98828,91756.92188,176082.9219,28757.75,3342.941406,122592.9297,7488.085449,8011.314453,178251.7813,1071.669312,805.1427612,18469.16797,192571.6094,151950.8594,30506.82031
49464.19531,92590.41406,176118.5625,29737.85156,3365.480957,123216.8438,7493.785156,8068.590332,180353.9531,1062.318604,795.9367065,18467.89844,194484.5625,151921.6719,30793.16602
49473.14453,93562.40625,178821,29987.20117,3137.03418,123721.4531,7459.906738,8090.340332,181956.3438,1016.150391,787.8324585,18987.16016,196328.4688,153207.7813,31086.66016
49072.14453,93726.27344,180231.6406,30227.54102,3208.735107,122588.2109,7455.584473,7822.808105,185781.8594,997.8948975,784.4697266,18877.74609,195598.6094,151904.7813,31266.74023
48617.33203,93301.08594,179584.875,30726.13477,3143.763672,121986.2578,7435.818359,7346.560547,185496.2969,974.309021,769.678772,18684.79883,195422.6875,150311.7969,31115.77539
48866.9375,93584.34375,178374.0781,30866.01758,3163.640869,122305.0938,7460.222656,7347.372559,188683.8594,974.1170044,781.5369873,18679.90234,194696.1406,150010.0469,31274.76367
